name,genotype,farm,cell,longitude,latitude,X_epsg102022,Y_epsg102022,tick,cape,cattle,bio5,ECF
246,0,40,22,-0.6301143034967054,-0.5588653543702707,-0.6311305953376495,-0.5572907304670507,-0.2196182985049941,-0.3031435840376016,-0.5557681263369205,-0.9803148591513102,1
247,0,40,22,-0.6301143034967054,-0.5588653543702707,-0.6311305953376495,-0.5572907304670507,-0.2196182985049941,-0.3031435840376016,-0.5557681263369205,-0.9803148591513102,1
249,0,41,22,-0.2624673588781155,-0.6823844267171375,-0.2645778117339559,-0.6820293133236623,1.36863724013647,-0.0872319079250868,-0.7730879876661809,-0.7668103618370973,1
250,0,42,22,-0.5658138977386087,-0.6016698586560504,-0.567080396761859,-0.6003461567658577,-0.071322376905783,0.1333584394361762,-0.1716380783526376,-0.6826122160029819,1
251,0,44,22,-0.2702226328192953,-0.6974610515038593,-0.2723656108869997,-0.6971175548857622,1.344495464533245,-0.3249041395484848,-0.7712617818528161,-0.7668103618370973,1
323,0,45,30,0.213857008725668,-0.6615029372178471,0.2108722147497649,-0.6624600951142243,2.678217029839438,-0.2912744749072715,-0.6788630506618762,-0.786422007713528,1
326,0,46,30,0.2353134968247335,-0.5870739378480357,0.2325481292707701,-0.5879383118899305,2.422028806765508,-0.2728791339257556,-0.3201224619242596,-0.6550053491279648,1
329,0,48,30,0.208574030484348,-0.6077005085707391,0.2057879757365493,-0.6085279635424257,2.4553414405683456,0.1318623781954251,-0.2676095432253416,-0.6644828639604068,1
384,0,50,36,0.4774603583328233,-0.8275715950739063,0.4733436009359614,-0.8297018988923975,3.5861497387475105,0.3005750994395527,-0.6023992462264613,-1.060080007203891,1
385,0,50,36,0.4774603583328233,-0.8275715950739063,0.4733436009359614,-0.8297018988923975,3.5861497387475105,0.3005750994395527,-0.6023992462264613,-1.060080007203891,1
386,0,50,36,0.4774603583328233,-0.8275715950739063,0.4733436009359614,-0.8297018988923975,3.5861497387475105,0.3005750994395527,-0.6023992462264613,-1.060080007203891,1
394,0,52,36,0.6079740913821475,-0.4962208858723994,0.6048329943149809,-0.4980567976310261,2.1773872157531864,-0.1446552187727124,-0.4506838202360191,-0.4283589349020403,1
395,0,53,36,0.5753991784876206,-0.5161628175951261,0.5722442000953422,-0.5179344219134445,3.2177909098495547,0.3603137840076119,0.1087940654058449,-0.5336032949539824,1
547,0,60,47,1.2690162393765994,-0.5308534225201588,1.2644953290139611,-0.5350046587949502,2.968028389718932,-0.3043026641889565,0.5701801582985114,-0.051105264614336,1
